date,Strategy,IQ Hedge Multi-Strategy Tracker ETF (QAI),Dow Jones Industrial Average
2009-12-31,1.0,1.0,1.0
2010-01-31,0.9924932716633466,0.9841524645280966,0.965408681392974
2010-02-28,1.0159746637555171,0.9837823617019378,0.9901429318041242
2010-03-31,1.0148898275547662,1.0025818016427213,1.04109876726713
2010-04-30,1.0339649279310317,1.000740205652318,1.0556729206323325
2010-05-31,1.0248500999074373,0.9590880309637844,0.9720542191493126
2010-06-30,1.0302016322354473,0.9734640732714421,0.937281658603477
2010-07-31,1.0341953433381592,0.9988941505917194,1.003633469344699
2010-08-31,1.0503897610413468,1.0007402056523182,0.960363634620086
2010-09-30,1.0665542290136807,1.0235929404000688,1.0345222740589073
2010-10-31,1.09425954266516,1.0298579340235983,1.0662098858367566
2010-11-30,1.108483886082071,1.0236136148170447,1.0644906223091006
2010-12-31,1.1255984574898377,1.0339021600685934,1.1197645311102313
2011-01-31,1.1196767057629782,1.0222112442978295,1.1501749012046358
2011-02-28,1.1092238281537437,1.0248496785759682,1.1825186829719225
2011-03-31,1.1329039562411505,1.0305086032031852,1.1915512650694882
2011-04-30,1.1436196213189989,1.0501238113629756,1.239021889540054
2011-05-31,1.130625853753304,1.0501238113629758,1.2157368039849743
2011-06-30,1.1427214825176633,1.0388059621085417,1.200701844277655
2011-07-31,1.119789772510733,1.0459751319102988,1.1744813387990176
2011-08-31,1.1659600040434166,1.0391835234021771,1.1232483474412565
2011-09-30,1.1437642538097161,1.016174758376979,1.0555305794188725
2011-10-31,1.1699679212468503,1.0418264524576208,1.1562759321363705
2011-11-30,1.2030728190605011,1.035439599670043,1.1677184986293083
2011-12-31,1.2572184168522944,1.0373399019709064,1.1843806925066493
2012-01-31,1.2519991977065827,1.0549604775711023,1.2246450759541332
2012-02-29,1.288210565763454,1.0687489269674222,1.2555847187158975
2012-03-31,1.3083999851848427,1.0622374645810486,1.2807864323666556
2012-04-30,1.31123309417459,1.0591753660867647,1.2809405683235144
2012-05-31,1.284405006104193,1.0457651759162097,1.2014316192060068
2012-06-30,1.312895137675356,1.0534294283239607,1.2486069160902804
2012-07-31,1.3303645101189958,1.072248265112176,1.2540159308537675
2012-08-31,1.3252509911564083,1.0795648007961198,1.2619360233519248
2012-09-30,1.3177536218543338,1.084572281282779,1.2953178250947115
2012-10-31,1.3365081120908324,1.0861116514143017,1.262477782356789
2012-11-30,1.3271071491585333,1.0876534947997878,1.2389680271228227
2012-12-31,1.3381160037548459,1.0864894547929966,1.2513507216954842
2013-01-31,1.3399714511406262,1.0927393638241423,1.3235852780966924
2013-02-28,1.3384272813636144,1.0923487445096955,1.342102282527656
2013-03-31,1.3294542267461082,1.100551750113074,1.3921452724304286
2013-04-30,1.368368371683391,1.1111030136881839,1.4170937154072398
2013-05-31,1.3807851706869303,1.1118842523170778,1.443427758581531
2013-06-30,1.411874355332164,1.0810207843907453,1.4237591112572796
2013-07-31,1.4468224005256871,1.10250938877036,1.4745503896093741
2013-08-31,1.4327313343052437,1.0911768865663567,1.408980420111539
2013-09-30,1.4335980748736208,1.116181064775991,1.439362767744156
2013-10-31,1.4399977807494158,1.1325916180677997,1.4789465828837454
2013-11-30,1.4529369034469197,1.1407946236711781,1.5314212049628992
2013-12-31,1.4710226774693795,1.1465427326101614,1.572020722125041
2014-01-31,1.4644490640811976,1.1378371137004324,1.4887750314920318
2014-02-28,1.4998824792064385,1.1615821890773872,1.5478429515062453
2014-03-31,1.5251465657527215,1.1564387858384448,1.5607355497240347
2014-04-30,1.55213938200852,1.1592058640827172,1.5724171256598007
2014-05-31,1.5347710457619745,1.1758310517605353,1.5853457605625685
2014-06-30,1.551686539453958,1.1869129956649342,1.5957233775024182
2014-07-31,1.56544980778616,1.167984484918392,1.5622853536012844
2014-08-31,1.5982113665101538,1.1900777421788407,1.6127618291212427
2014-09-30,1.5639607810550917,1.1707433107686303,1.607522236081659
2014-10-31,1.6032843918206787,1.1750876687167071,1.640310486890306
2014-11-30,1.651799087686178,1.1908705082277593,1.6815509417003436
2014-12-31,1.6397353263946508,1.176722369093096,1.6805001648223874
2015-01-31,1.653097920711223,1.1611090651811011,1.6184474001486862
2015-02-28,1.6836190795809152,1.2007456281046955,1.7096945329101505
2015-03-31,1.6783925747305999,1.1987452018916824,1.6760733470666136
2015-04-30,1.7404933617615541,1.2011448061245258,1.6821454889935965
2015-05-31,1.7401799925283774,1.2007456281046955,1.6981895211410425
2015-06-30,1.7309415399141925,1.184329432039178,1.6613069162097054
2015-07-31,1.7098474915342114,1.1839302540193477,1.667940071249508
2015-08-31,1.7485766943309307,1.163912383547636,1.5583935393391473
2015-09-30,1.808768591406795,1.1531028242151886,1.5354504602227979
2015-10-31,1.8745689075109175,1.1631094913941142,1.6654584132445664
2015-11-30,1.8762808456154252,1.1567012168073019,1.672173054274603
2015-12-31,1.9294929096057125,1.1433962301251666,1.6490705991868104
2016-01-31,1.9707733917121868,1.1273290617955616,1.5583382758818656
2016-02-29,1.9859950689050263,1.1313469863256886,1.563089105239358
2016-03-31,2.0779256425897024,1.1578598524754438,1.6736821665714592
2016-04-30,2.108424845694666,1.1675037773059287,1.6820623645715767
2016-05-31,2.1991499870077766,1.1634858527758019,1.6833456563263096
2016-06-30,2.309823352251137,1.1715217018360558,1.6968590213453594
2016-07-31,2.3174358783838267,1.1807624752762576,1.7443909744290313
2016-08-31,2.299237921795761,1.1775463237357955,1.7414231256511237
2016-09-30,2.368161114890475,1.1771431723455121,1.7326473406646636
