date,Strategy,IQ Hedge Multi-Strategy Tracker ETF (QAI),Dow Jones Industrial Average
2022-09-30,0.03627483651610497,-0.039808179914011976,-0.09258501119204277
2022-06-30,-0.021359582057229543,-0.02943172880430689,-0.06210299930851071
2022-12-31,-0.012639443062566591,-0.015314267852236996,-0.05682733162583653
2024-04-30,-0.0006072879910141715,-0.01197798640336678,-0.05002714195820657
2022-04-30,-0.032591014604016144,-0.03339782029480398,-0.04905483974555669
